"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","GIRL","MEANSCORE","A","2012",497.821,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2012",494.462,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2012",508.935,
"CAN","PISAMATH","GIRL","MEANSCORE","A","2012",513.022,
"CZE","PISAMATH","GIRL","MEANSCORE","A","2012",492.903,
"DNK","PISAMATH","GIRL","MEANSCORE","A","2012",493.029,
"FIN","PISAMATH","GIRL","MEANSCORE","A","2012",520.185,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2012",490.853,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2012",506.625,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2012",448.984,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2012",472.664,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2012",495.947,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2012",493.705,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2012",475.794,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2012",527.011,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2012",544.193,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2012",477.117,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2012",406.427,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2012",517.738,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2012",492.057,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2012",488.293,
"POL","PISAMATH","GIRL","MEANSCORE","A","2012",515.533,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2012",481.296,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2012",476.712,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2012",475.965,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2012",479.629,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2012",524.473,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2012",443.948,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2012",487.815,
"USA","PISAMATH","GIRL","MEANSCORE","A","2012",478.995,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2012",382.925,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2012",410.543,
"EST","PISAMATH","GIRL","MEANSCORE","A","2012",517.93,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2012",372.785,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2012",460.749,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2012",482.944,
"SVN","PISAMATH","GIRL","MEANSCORE","A","2012",499.387,
"OECD","PISAMATH","GIRL","MEANSCORE","A","2012",488.551,
"OAVG","PISAMATH","GIRL","MEANSCORE","A","2012",488.551,
